,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
ACVR1B,0.274977638551803,7.85833095153583e-05,0.00833535779855081,0.000315578165375326,0.215107483604125,0.186111489349,0.00985379238431313,0.243680382955456,0.000140734805968146,0.000728382985236206
ACVR2A,0.169108043849045,8.10266848634842e-06,0.00158547933661715,0.000168108523998878,0.00236917950696262,0.0976359436104855,0.232726166825643,0.0639534310191732,0.000517794795796994,0.167723613237609
ACVR2B,0.00559752577715692,2.41709458282794e-05,0.107218922964866,0.000181619745331975,0.00685317320239604,0.146695280460646,0.0356398721598017,0.219098682921358,0.000312293071114457,0.0313067998768941
ACVRL1,0.0175398805618796,0.000188056455751778,0.196198855563022,3.69164568920499e-05,0.151910139423846,0.0213060648282124,0.293268540730746,0.216221510290774,0.00070202366185475,0.111292650897775
ACY1,0.185709863417654,0.000172477359337788,0.0372879410294349,0.00033291205000425,0.00399028910346364,0.014912265889476,0.0237277378947486,0.00756138638188359,0.000188228865750776,0.000753932409468298
ACYP1,0.00253051036736652,0.000111856878950502,0.00232413238918625,0.000234685379901967,0.0206581485031238,0.0433988805493148,0.203915185296549,0.050879214745744,0.000421347545788198,0.240330483987619
ACYP2,0.125264083541617,0.00012891004056597,0.000296062215751994,3.23098549544903e-05,0.110225028220851,0.116469258946597,0.013671682060373,0.0275407998771848,0.000169126649465004,0.101747124480877
ADA,0.1459733322936,3.4846590876332e-05,0.298984303660528,2.24557851110032e-05,0.0975246889817177,0.0160304223773084,0.0551417948291743,0.18122924886442,0.00033200360152479,0.0940001399287778
ADAM8,0.0574460753715969,3.36486857271804e-05,0.418616648381654,0.000134508952796638,0.053635361744233,0.0176440564318583,0.00410527185591133,0.00754797025005924,0.000279278670441771,0.200596475977899
ADAM10,0.0195378003693475,0.00016218894120666,0.00155028731168984,0.000259063007821622,0.061727649097263,0.00358721377090983,0.113752271767881,0.199759557189804,0.000233075507428223,0.0465133807068804
ADAR,0.00176761393599683,3.36063717975153e-06,0.020075209960184,5.11090496796246e-05,0.000286099104391967,0.0117589050024486,0.0737190519480321,0.422371447708728,0.000490434852594811,0.130896110741034
ADARB1,0.0877324925713104,0.000167751720447438,0.14235120979313,9.92779194459253e-05,0.179461101608024,0.0144595978414336,0.0505102724267245,0.0329637690886715,0.000472342888759442,0.0702554628681117
ADCY1,0.573793982890298,1.71540828233302e-05,0.0737633840027943,3.5247166128077e-07,0.0291736958389483,0.152015223298223,0.00473108125760572,0.266798440165683,0.000109739753224915,0.0230384310092821
ADCY2,0.167184749240929,4.72939763476382e-05,0.00241288891370529,0.000211339421938076,0.00566035053336962,0.138888699390339,0.173589785440295,0.0231632510876165,0.000303326383398168,0.0010510560339988
ADCY3,0.241211608242804,1.79417265160468e-05,0.00105453923398745,0.000179130052886007,0.00590843472186447,0.405820184566296,0.07510330988201,0.212296352931673,0.000509364305257277,0.128200019960005
ADCY5,0.318677723514294,5.42469360031468e-05,0.188294668845634,1.31870399135015e-05,0.059630074103108,0.0456596494937324,0.0364462258148911,0.154710325734007,8.57127760894202e-05,0.124354280174123
ADCY6,0.231530592443989,7.63612357992304e-05,0.0951884495960427,3.25590021529446e-05,0.0747217637881008,0.0264204684240815,0.0214744998018815,0.286080454833981,0.000482109600429668,0.0154442215990117
ADCY7,0.274361044394306,7.54622813574514e-05,0.302500463463965,1.82666016027586e-05,0.0464143065752582,0.00100553111834676,0.105639708134856,0.293262715100773,0.000145297193967468,0.0649469060586814
ADCY9,0.38650741931965,7.42692314792768e-06,0.0743008723195439,0.000218338290637748,0.00102415431549118,0.0994905179214422,0.00237980950095407,0.328145057433136,0.000204176001840919,0.0196145349354415
ADCYAP1R1,0.00106316941931066,5.31701587035562e-05,0.000504135056503968,0.000142117783071864,0.00340753885092834,0.0675711090850348,0.251474001163701,0.0191262949932528,0.000181399112867003,0.0126358806898173
ADD1,0.128070157094577,2.04096012855878e-05,0.0120191295608904,0.000343393058645888,0.0302336816926887,0.114434679301893,0.00940797592090463,0.119517320185395,0.00026930380523402,0.0138610358916958
ADD2,0.433097519213222,5.69715929517514e-05,0.00284988290763623,0.00015166288202845,0.0428534483501211,0.205042644629714,0.0135459692599405,0.0656357903620512,0.000205435902460359,0.12604861613147
ADD3,0.132588865863643,1.77787726116892e-05,0.345132910124729,0.000186068334427055,0.034750115273899,0.0276889098442718,0.126643868947024,0.00570145069688119,0.000179641603295797,0.0130238785401084
PLIN2,0.437241069614667,8.01733037472323e-05,0.00715915990273067,6.87742813576113e-05,0.135436997710605,0.0309916761448999,0.0367419848607362,0.00561947470741783,0.000378385716444365,0.0511801522105723
ADH5,0.118082951188712,3.01171261533171e-05,0.000167633860521239,0.000241755829685664,0.0151048570800166,0.131891786399829,0.0689765554466849,0.0281510190160251,0.000365255937231692,0.000229950283195767
ADK,0.0712547949824836,4.69643768224212e-05,0.0018046874070194,0.000435984648904955,0.141440192154289,0.010363249127427,0.040125434659894,0.0130892577972214,0.00022112538509152,0.0107642232232016
ADM,0.394865727396328,9.49088401430469e-05,0.00505478386877326,0.00010984642988321,0.0455633860280342,0.064728373184275,0.0146237195296159,0.185876525341276,5.32121132925631e-05,0.145537530352957
ADORA1,0.132063231002201,8.04111501393751e-06,0.0394707615340933,2.66698976416467e-05,0.0394539432639326,0.00220193049568228,0.0540347868436759,0.0703901598919576,6.16072962424607e-05,0.082686312938657
ADORA2B,0.310136760509882,3.72540219603297e-05,0.010037643647049,0.0003582833296744,0.129424285435119,0.147990903741391,0.0722553487518208,0.00749163872391147,0.000361130170442266,0.0913567002483448
ADPRH,0.147327602662907,2.22513135541927e-05,0.185525362358887,0.000342945113772696,0.0336288412162739,0.163772528158387,0.0416650927248107,4.27129790390603e-05,0.000239014322612746,0.0613744695760086
PARP1,0.0175328195947418,1.10055620279936e-05,0.0168006277481014,0.000317632136076245,0.00331002091157535,0.0463452291031438,0.090862932392518,0.235332962380116,0.000271913132677879,0.0608657704850797
PARP4,0.00316385020179997,6.78696581661544e-05,0.0306060460877108,0.000319347528518775,0.0139428622409442,0.0862465021606487,0.0216191903538496,0.284397106896075,0.000102293749293185,0.0085899099338473
ADRA1D,0.00086672157487928,0.000173225042188709,0.00321593809545246,0.000539696669421757,0.019118500915102,0.018427421949084,0.0797804522886141,0.0559831383765064,0.000627494373357309,0.0129473316367596
ADRA1B,0.180849010593903,6.75703832723094e-05,0.00344984935952808,0.000227676278021004,0.0464760212835373,0.0911021936897883,0.108036255602154,0.0273265962671626,8.89671834468972e-05,0.0569325103536835
ADRA2A,0.491184514562358,5.41525209282798e-06,0.0959962393256026,6.08102460602332e-05,0.0794820923807963,0.0986295863161105,0.177661067579213,0.141493203138821,9.2866080280054e-05,0.0624807842967127
ADRA2B,0.205364601003245,5.84975509540291e-05,0.00434235359714311,0.000369364826492389,0.133798965365351,0.0604773374688769,0.00301728800546667,0.0330070166770338,0.000406588230099039,0.0281264590678855
ADRA2C,0.0553825760340717,8.24484941150377e-05,0.00106475559838495,0.00015466981032431,0.0108463211164638,0.17008542682101,0.0149190594182313,0.065678553808004,1.47946440415193e-05,0.122510727074701
ADRB2,0.0997331106551764,4.12390748644301e-05,0.220380349004633,1.79626303823051e-05,0.0102279761070881,0.0258312286681949,0.297418376426997,0.0994392091665884,0.000455982993146766,0.106311626731958
ADRBK1,0.0153941465018919,0.000174035958148568,0.199308779969588,8.85151200000374e-05,0.0132127567581462,0.00253645177447727,0.0200584194440143,0.022344082152957,0.000285959191757722,0.0583768778189644
