,LF1,LF2,LF3,LF4,LF5,LF6,LF7,LF8,LF9,LF10
ABI2,-0.047820505699838,-0.0814178863881997,-0.0251783781342317,-0.0802700155097763,-0.0115083837294809,-0.246804969940967,0.000692808586435265,0.00366187928964494,0.0168639805117926,-7.56455015757452e-05
ABI3,0.0669698509061403,-0.17120834498638,0.224965280950231,-0.0839735066517878,0.0102822131235693,0.0467990556405321,-0.00160726981476726,0.0231652747818168,-0.0516302511222022,-0.000230723165472988
ABI3BP,0.0371258499207909,-1.01393914002482,0.205567247414838,0.303662771503151,0.103870025766216,-0.0410045799327102,-0.00156494096968328,0.00461973045854231,0.0820496463108375,0.000201179143094229
ABL1,0.0170822265686202,0.278867988491462,-0.00381807222389097,0.472313789892383,0.0371554418152866,-0.0179054800096561,0.000956530316541448,0.00979530135463706,0.0258902933784301,0.000944859908235811
ABLIM1,0.204390818612155,-0.588097336111267,-0.00433490274751368,0.0810240397292405,-0.064483155077873,0.118840424144163,-0.00595902029755558,-0.0162193945445871,0.098291235638332,-0.000373379551481238
ABR,-0.116693977352987,-0.195303306622761,0.0172349407730083,0.111017466732369,0.0782300650404306,-0.103695182468459,-0.00674402216461722,0.0207428159655482,-0.18777814643432,-0.000412429023563905
ABRACL,0.217441550550332,-0.185404702986859,-0.0024302907606207,-0.329071558045246,-0.111687248913202,0.185149247930445,-0.00441520343831244,-0.02326797760914,-0.0161770476717603,0.000341531216664625
ABT1,0.220034418097772,0.134223802207762,-0.00366215537534171,-0.237494029021188,0.0444986993601407,0.0623191048468627,0.000422388081791344,0.00763339628532731,0.023216748770901,0.000179528665603965
ACAA1,-0.177126748373343,-0.331159334962712,0.0111104258186736,-0.0461090118042791,0.030544272127213,0.168839248351761,0.00194305262761153,-0.0314231734547725,0.125588562366985,-0.00010414315328438
ACAA2,0.226418130277885,-0.476827066087991,-0.000223898455614301,0.0183355085302348,0.0116952300265356,-0.00222211750869858,0.00315411535206723,0.00406316131752813,-0.0601364426050379,0.00011251994017869
ACACA,-0.175564038012657,-0.00888946643693041,-0.00358467545714368,-0.24806717656193,0.00262628341009605,0.106361646073772,0.00209497768864465,0.00200422137147811,0.0552878038082287,3.17223128442387e-05
ACAD10,-0.0325391596203539,0.175152022115823,-0.0594079991479658,-0.162803604785669,-0.0385980074893345,0.0265384173336589,0.00826017264219655,0.0434154471138206,-0.0573575278504039,0.000579876419126058
ACAD8,0.00309259034154111,-0.219380769886443,-0.0037006778031282,-0.0958631907079724,-0.342940980101361,0.0495256467467965,-0.000432079496358346,-0.00828860086929821,0.0816845029940297,0.00056024154093772
ACAD9,0.11516540532142,0.111468814822035,-0.0026171245125241,-0.189190492926371,-0.188716287988408,-0.0630660538078786,0.00161916767320974,0.0083392870983743,-0.114386627130934,-5.83999911955661e-05
ACADM,-0.0596340004490801,-0.305039552433045,0.000174525910981669,-0.108001104698492,-0.3407470870203,-0.109125640600363,-0.00296167589400333,-0.0147316679227963,-0.133734233673572,-0.000349710126389349
ACADS,-0.094036483565485,-0.610099580607015,0.015366232921232,0.0787876415282448,-0.121048711362931,-0.104738618780944,-0.000777244240943314,0.0108137994453585,0.0887940421141998,0.000403927701644114
ACADSB,-0.657862204805965,-0.108358880886739,-0.00735172584951821,-0.155558559681602,-0.0589226255851723,-0.145386454868079,0.000732941602413917,0.0021620516220812,-0.216406598280981,-0.000318863565000152
ACADVL,-0.0208145450533475,-0.314535543968554,0.00211811282132305,0.00168832478993088,-0.088371399464691,-0.0128267423512861,-0.00128688847777685,-0.0253386624516259,-0.054793855754118,-4.47744470408205e-05
ACAP1,0.178330323516138,-0.272773203174287,0.389334513812858,-0.14849389156231,0.0427237361935396,0.0618563644688652,0.00245257685939515,0.018512684136284,-0.065241223535443,0.000213628010312685
ACAP2,0.0963136086250036,0.0096774939289117,0.0391664174444544,0.10060637116477,0.00671186103413747,-0.00495901926759715,0.00143204540729349,0.00762371076566777,0.00686909841325492,-0.00143298971546179
ACAT1,-0.0643485579810285,-0.356816517663606,-0.0352580003802383,0.0584565818417724,-0.332824409430548,-0.018704880123341,-0.00268488958488508,-0.0128830227485394,-0.151304004128704,-0.000701443616009552
ACAT2,-0.00217070422716627,-0.174731148648562,0.0169596936836596,-0.287994447205882,0.0344258657554935,0.102242823757898,0.00110220363278456,-0.0417158168000319,-0.0418456636632036,-0.000234950683580512
ACBD3,-0.0717383622375841,-0.0231958427605544,0.00152877683087233,-0.181025852512671,0.00787472172229818,0.211098797874613,-0.00734092697654271,-0.0294198143783443,-0.028914357473017,-0.000654404663614417
ACBD5,0.00622910962462626,-0.00651689900557099,0.0118458745459113,-0.0668208633106713,0.026680739678119,0.0850123010706064,0.00588730345239607,0.0191394398276398,-0.00976113737457756,-0.000170085589756179
ACBD6,0.024199903213106,-0.123648724728826,-0.00856912295116573,0.027863695267196,0.0248478119184288,-0.0137868470246289,-0.0048646815921504,0.00809986441384045,-0.109659516955902,0.000937286113096631
ACE,0.143905765499816,-0.351669048748193,-0.00413500778077124,0.104282747192605,-0.176930470517456,0.157043374349855,-0.000649645169291639,0.0127183022496029,0.143093734427135,-0.000148166895714069
ACIN1,-0.0845374530732194,0.367768184444569,0.00103564896165519,0.0697183479555432,0.0224269771967708,-0.0324430624701662,-0.0121356163213933,-0.0333694626938905,-0.174432945160263,-0.00115321632856736
ACLY,-0.175248587524942,0.040309359778781,0.00507161938131508,-0.141276148009862,-0.00593906534834028,0.147470435842435,0.00255811624581865,0.00255780544503227,0.0781258599887192,4.2257318599405e-05
ACO1,0.0231705056869249,-0.583860193162063,0.00224812369172647,0.179979178943549,-0.0461231383031142,-0.145940434741929,-0.00156054553944156,0.00820617833708702,0.0143265732436261,0.000311221300935243
ACO2,0.000347454949639991,-0.14799305644293,0.0237741488700895,-0.201647605405061,-0.335037485289641,0.0368207312314463,0.000196938240703005,-0.0351364159137007,-0.045725945295095,-0.000924923309484369
ACOT11,0.0389113752315778,-0.00237937146780882,0.00325721259439961,0.00540568212291505,0.0132155316085019,-0.0513162496537826,0.00303189218901397,0.00469359471236164,-0.132001997635692,0.000119352154940861
ACOT13,-0.0305032901084815,-0.239175374772628,-0.0200121127872329,-0.335785319227658,-0.0662504448344878,-0.0479470515062716,0.00212459532895154,0.00661192176118344,-0.32903621671392,-0.000329242550033189
ACOT7,-0.101494401306459,-0.00565662661662637,0.000166575843993248,-0.414202171122813,0.047202553919602,0.0395717113170467,0.00939929764962973,-0.0176426050353383,-0.115145106124557,-0.000903091279646407
ACOT8,-0.195065981135521,0.117945871846176,-0.00317101856586597,-0.0613490354569991,0.0251892646672044,0.226727376453748,0.0083225070960282,-0.0134193918901094,0.0535318249765603,-0.00144742248833259
ACOT9,0.198903937473968,-0.226998663231482,0.0159768096583735,0.114371838681062,0.0855646572193951,0.144340050806997,-0.00246606233236783,-0.0241441361692528,0.0411328489436505,-0.000880674883806615
ACOX1,-0.0018122536324754,-0.256150925051186,0.00534181463664706,-0.318296980638884,0.00251103738434375,0.287230556383293,0.00229440171592365,-0.0276065612953077,0.175776423794186,-0.000222461497095973
ACOX3,-0.198904156311579,0.0290864021387472,0.0551328020808438,-0.0969549557830205,0.0693854215561812,0.206705755145068,0.00172563350240965,0.00116300103599606,0.149207471072008,0.000320621684141467
ACP1,0.00169795859144176,-0.112486370201303,0.00183571846448389,-0.154161922524762,0.0147379635816557,-0.0328650627730528,-0.00482792583788707,0.00331968568039834,-0.0186863574378033,0.0017817233249519
ACP2,-0.0602048365138222,-0.212460494736304,-0.000597664889437509,-0.0883498412071672,-0.217960483684534,0.0463901846489659,-0.00361673101917976,0.00546033832335586,-0.0114243853574008,-0.00010838790343188
ACP5,-0.0414364771773383,-0.257244123266786,0.00340493085794501,-0.00758078324423548,-0.0110897275266552,0.118794216914564,0.00460787072599192,0.0319028538621868,-0.184827960836768,-0.000324481930310944
ACP6,-0.103505867229552,-0.054043016469386,-0.0832007925712249,-0.0590567609564814,-0.062866188629559,0.0845018746135088,-0.00418345003069081,0.00536603155183818,0.108613168459579,-0.000374884970273383
ACSF2,-0.294377643832692,-0.343859603757064,-0.00126290569324792,-0.00861857213034855,0.0525020560557465,0.00800825398599831,-0.00170329065408291,-0.00506963314582374,0.0727176908179748,-0.000280461865966154
ACSF3,-0.0806610613699543,0.0435790634799229,-0.00996182454042625,0.116581715702541,-0.145350235522098,-0.0045540521948769,0.000793705127189658,0.00807616379599293,-0.0630369111861433,-0.000135945550844537
ACSL1,0.205141165421157,-0.798993942901998,0.000472480388461137,0.0894010479130698,-0.0224469870590016,0.0880143860225579,9.82229474358526e-05,0.00293655015012924,0.213499942568204,-0.000413518172340861
ACSL3,0.18393888217006,0.319712990579002,0.00283937705936719,0.0377959757280352,-0.128076212053883,0.221372158709778,-9.34919073415663e-05,-0.0306908056345493,0.353198313941505,-0.000165853106552948
ACSL4,0.306896705525809,-0.375988869567642,0.157797168025317,-0.0275852956415379,0.0164029237174244,0.0154892114764276,0.00360463078015478,0.00534986552679273,-0.00738128258858168,-0.000965227775228714
ACSL5,0.174456945026756,-0.190974329613535,0.18248980462934,-0.0592690654879305,-0.0184045444065548,0.164497285914987,-0.0013586915177351,0.00308129320469093,0.120574926810675,-0.000176545663367175
ACSS1,-0.236568863576451,-0.0867388534623076,0.0939970107355112,-0.063282943089067,-0.274902437536174,0.0159453706647421,0.00192853884199952,-0.0037804601473786,-0.0208988269277706,0.000432444124447718
ACSS2,0.0117039739245036,-0.296923807949259,-0.0152212401972308,0.0467320352281774,-0.105355233179446,0.0248754011328274,0.00315818063467955,-0.0126314921362399,0.0991805126538928,-0.000450978543719465
ACSS3,-0.334474063212721,-0.431300109559226,-0.0127609329168507,0.0905715445984414,-0.0560358719552525,-0.0365211979324432,0.00211915735619498,0.00493601701389536,-0.110565810539283,-8.83977835540637e-05
ACTA1,0.0177168411529665,-0.446646928224095,-0.00933916162896051,-0.4582018879889,-0.00529446003086784,-0.00173587250439864,0.00107980917737557,0.00667904364014291,-0.00851381950800841,0.000296663967204625
ACTB,0.086356226101061,-0.476082055598772,-0.00124922905033904,-0.259996890270703,0.0809310902635649,0.0719033563953856,-0.00255267648269154,-0.0362722657460026,-0.106516690123055,0.000178217685126844
ACTBL2,0.063872493484636,-0.472846861570938,0.00428244105852529,-0.1147640355573,0.148123276325963,0.0978775070094514,-0.0046730102098325,0.020933332662965,-0.038877150268732,0.0010855242756231
ACTG1,0.0299428332488437,-0.373762557733732,-0.000641787538846339,-0.262599955960889,0.0453800410688509,0.0173724439068827,0.00110770649968984,-0.0302736443576737,-0.187008685912821,-0.000644347127290377
ACTL6A,0.0184535118324833,-0.0243747357015294,-0.000745605883147586,-0.369821309793453,0.00088576942462456,0.00861444803949445,-0.00666393951626437,-0.00522288752450188,-0.0594068395735312,0.00201878971259594
ACTL8,0.191474338217031,0.0610778356138583,0.0151211940512585,0.10967840287165,0.0727267024749931,0.0205302163996581,0.00158085080937416,-0.00146497038722752,-0.257010162884579,2.18831180066413e-05
ACTN1,0.202713094417588,-0.380679364318166,-0.156283519813332,0.0769446140441368,0.292639095526732,-0.0163927492319043,-0.00352097636705564,-0.0235932735426235,0.15497681270114,-0.000695996863430415
ACTN4,0.209707625631976,-0.156125840606252,0.000715222001666444,-0.0496545676041545,-0.00298596832061307,-0.0747559136591658,-0.00270686879356644,-0.0322146640806134,0.00888556275004294,-0.00115064322988592
ACTR10,-0.0167318337901839,-0.0169346293281009,0.0385924106155409,0.0874914658129778,0.0530072587715208,0.014525624927214,0.0034356416402008,-0.0227811616151866,0.149732083859719,-0.00036277443728684
ACTR1A,-0.0683398894200926,-0.374599015397929,0.0178620734261395,0.012192350486705,0.0380726197027436,0.0306467244721092,-0.00189913102331461,0.0140064147776487,-0.100252502347425,0.0003993357104906
ACTR1B,-0.0326856490467488,-0.372889063524891,0.038398536582749,0.0186659284848703,-0.0360139048076981,-0.0189522203831165,-0.00129216338677605,-0.0112412839030041,0.0214916804192775,0.000552326091073475
ACTR2,0.151211062018083,-0.261537518546174,0.142652900053607,-0.0294189953725995,0.00250448780576159,0.101329145779846,-0.00613372320659984,-0.0429072418004588,0.0342384165072506,0.000734136445432489
ACTR3,0.0861483868957822,-0.173479292393113,0.146687403152406,-0.0894870661511602,0.0592807884246872,0.0897081029367698,-0.00117093982688686,-0.0510925232048898,0.0929643816377062,-0.00185302318605488
ACTR3B,0.0107077961299351,-0.0221108380973727,-0.00609234935449431,-0.303893517159279,-0.24122324201658,-0.143272111279279,-0.00600851588259434,-0.00179545509995825,0.128058719557193,0.00256864319149412
ACTR5,-0.0807644244008966,-0.183831261444928,1.88623557556357e-05,-0.233043270384782,0.100773483170153,0.0356598294691897,0.00190529655651996,-0.0159297986515968,-0.0565997543901069,-0.00033991863193907
ACTR6,-0.0102896279630877,0.0342294674675089,-0.00112944599466421,-0.248711728382364,-0.0325704320065751,-0.0427076092283146,-0.0012370122584261,-0.00578706198881904,0.102399681709597,0.00147051374717942
ACTR8,-0.0775901078393339,0.235701840448964,0.000860492799862671,0.0055694614000124,0.0145908351283413,-0.104185711618677,-0.00819331587821235,0.0228103243739488,-0.0166201230782521,-0.000224259510756282
ACY1,-0.375263434348091,-0.198404432109189,-0.00763242378993929,0.234679555483189,-0.0723021359376433,0.0191135179758746,-0.000629399475374149,-0.0190610233636689,0.0600555707776166,-0.000666775202699599
ACYP1,-0.0716526469738188,-0.197510887482435,0.00457537212860231,-0.265131158643652,0.0143238189527099,-0.154088781631975,0.00214394075966108,0.0050728818957804,-0.00354811532796021,-0.00052970914879672
ACYP2,0.273412601660777,0.0535266882886868,-0.00460759132116439,0.22992943756922,-0.034917322363805,-0.14016888986153,0.000313308165328543,0.021431154179412,-0.135577209523922,0.000118983161074829
ADA,0.167858481792304,-0.536414245919037,0.1913008053476,0.00540841560960132,0.0111221168411451,0.103878390694685,0.00304233812917054,-0.00608522467862477,-0.1047152760829,0.000399063988590957
ADAM10,0.0195954866299121,0.218878468866684,0.00148654270221454,0.319503659936213,-0.0646307036374496,-0.013906780277636,-0.00481643026703903,-0.00705259503249177,0.508450408614225,-0.000420037088087838
ADAM15,0.0466591282625425,0.307992826733667,-0.0115811443111379,0.260207120456954,-0.234268216253364,0.348478457924118,-4.93110957255624e-05,0.00124455314532965,0.0216675128746992,-0.000334326892587075
ADAM17,0.113248655235024,0.315924986327258,-0.00114772966750573,0.261954002553784,-0.0316044172894636,-0.0825679322772334,-0.00718202740366108,-0.0116227204043726,0.100842253442245,0.000589838452943676
ADAMTS4,0.187104990819109,-0.133323606629493,-0.0319814601505139,0.325971071770299,0.016099288133978,-0.0100783582231286,0.00127478013035469,-0.00441233917935863,-0.0426091606203704,-0.000257026637234496
ADAP1,0.127576236832633,-0.223374571863753,0.132392338571328,0.091993245998534,0.0342718077282292,0.0203088356096246,0.00186760202335564,-0.00558865086819991,-0.0286617899478859,-0.00124030199764494
ADAP2,-0.0158283277985842,-0.295995305807578,0.0100410757403857,0.153278841892091,0.00255294399317509,0.0419212295956296,0.00432765339960855,0.0251155439325112,-0.133020777559039,-0.00051178146841139
ADAR,0.0306862698346059,0.198973782862883,0.0012421238272563,-0.222830422192549,0.0512891568518769,0.0402691280804337,-0.00657801756564184,0.0516997215344044,-0.0903035713266071,0.00064166838291424
ADARB1,0.0119085556368636,0.00753447497051285,0.00106954836529013,0.201469020232548,0.0399382344113299,-0.0205009568581558,0.00980871854381297,-0.00711878870716242,-0.0444992004658414,0.00118903355304923
ADCK3,0.143550186433492,-0.338275934145228,-0.00124826303797347,-0.292243221396679,-0.195840848851961,-0.0368574733374715,0.00304772237015282,0.0244332578159369,-0.0155780429906849,0.000741926254127083
ADCK4,-0.117599003027033,0.207667879308795,0.00126325102490468,-0.0908533343842621,-0.0629213530004954,0.0391160226632551,0.00512701575891666,-0.00266887642932904,-0.0201886816700917,-0.0018387566940082
ADD1,0.107730836941152,-0.332536086334664,0.00108826074314215,0.11748223759037,-0.0499404425018401,-0.0324266833172445,-0.000635622445390808,-0.0235665903691987,-0.0420989509552055,-0.000158631133568515
ADD2,0.301382668213695,-0.286935836201138,-0.0738855030763544,0.104111532935911,-0.165302406228654,-0.0436182185795366,-0.00124251066709545,-0.00305289292922234,-0.0239943140227175,0.000492868225636781
ADD3,0.11575902949247,-0.568334246138443,0.021440147128076,0.241772617137379,-0.0190313032691245,0.0079190274616026,-0.00161073678526382,-0.0255681620405225,-0.030847165220749,-0.000675540322402384
ADH1B,-0.00265356292784934,-1.67064322842831,0.0276449075606866,0.322108172973287,0.113420001518744,-0.0250256613723335,-0.00214876723299494,0.014898659773038,0.101747807690517,-9.24835098608456e-05
ADH5,0.0602908048379249,-0.455134717174127,-0.0015790038710387,0.114721077609724,-0.0149977396099601,-0.156011554856743,-0.000612451890564392,-0.0278715242711112,0.0493724674135734,0.000392667597244422
ADI1,0.199582061358073,-0.0676668647451034,-0.0299343804055625,-0.349160065014235,0.0541495606204059,0.0236121428746698,-0.0030802363647151,-0.0086548138254904,0.0696778223101983,0.00112038510970785
ADIRF,-0.397037262643869,-0.588354782696828,-0.0173280994270573,0.66316920896843,0.0522084980399753,-0.161988318445539,-0.00108210965458756,-0.00747324562248198,0.0038672333363809,-3.33426358572548e-05
